Participant ID;Time;Completed;Help;Disorder;Error;Age;Gender;Background;ARexperience;ARexperience-cat;ARExperience-Rarely;ARExperience-Sometimes;ARExperience-Moderately;ARExperience-Regularly;ARExperience-VeryRegularly;MachineryExp;Si Yes, quelle .. ;MachineryExp-cat;MachineryExp-VeryLittle;MachineryExp-Little;MachineryExp-ModeratelyFamiliar;MachineryExp-Familiar;MachineryExp-VeryFamiliar;TrainingDone;Utility;Utility-Useless;Utility-ScarcelyUseful;Utility-ModeratelyUseful;Utility-AlmostUseful;Utility-Useful;ReprodAlone;ReprodAlone-Unable;ReprodeAlone-BarelyAble;ReprodeAlone-ModeratelyAble;ReprodeAlone-AlmostAble;ReprodeAlone-CompletelyAble;Clairity;Clarity-NotAtAll;Clarity-NotMuch;Clarity-Understandable;Clarity-VeryClear;Clarity-Limpid;ExplicaNeed;ExplicaNeed-Never;ExplicaNeed-Rarely;ExplicaNeed-Sometimes;ExplicaNeed-Often;ExplicaNeed-Always;EaseUsage;EaseUsage-VeryDifficult;EaseUsage-Difficult;EaseUsage-Neutral;EaseUsage-Easy;EaseUsage-VeryEasy;Structure;Structure-VeryMessy;Structure-Messy;Structure-Understandable;Structure-Clear;Structure-VeryClear;ReplicationDone;UtilityAfterReprod;UtilityAfterReprod-Useless;UtilityAfterReprod-ScarcelyUseful;UtilityAfterReprod-ModeratelyUseful;UtilityAfterReprod-AlmostUseful;UtilityAfterReprod-Useful;Sufficient;Sufficient-NotAtAll;Sufficient-VeryLittle;Sufficient-MoreOrLess;Sufficient-Rather;Sufficient-Totally;SelfPerformance;SelfPerformance-Bad;SelfPerformance-Poor;SelfPerformance-Average;SelfPerformance-Good;SelfPerformance-Excellent
AR11;163;yes;0;1;1;19;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
AR12;223;yes;0;0;0;19;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;MrBot;Very Little;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Completely able;No;No;No;No;Yes;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Very Clear;No;No;No;No;Yes;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
AR13;227;yes;1;2;0;18;Male;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Very Clear;No;No;No;No;Yes;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
AR14;392;yes;1;2;2;19;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Almost useful;No;No;No;Yes;No;Moderately able;No;No;Yes;No;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Poor;No;Yes;No;No;No
AR15;384;yes;2;1;1;19;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
AR16;318;yes;2;2;1;19;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;No;Almost useful;No;No;No;Yes;No;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Neutral;No;No;Yes;No;No;Clear;No;No;No;Yes;No;Yes;Scarcely useful;No;Yes;No;No;No;Not at all;Yes;No;No;No;No;Poor;No;Yes;No;No;No
AR17;190;yes;0;3;1;23;Female;Communication;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useless;Yes;No;No;No;No;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Clear;No;No;No;Yes;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
AR18;385;yes;4;4;5;20;Female;Third place management;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
AR19;226;yes;0;2;2;21;Male;Conception mécanique, simulation numérique, automatisme;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Mazak Quick turn;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
AR20;270;yes;1;2;1;21;Female;Design;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Découpe laser;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
AR21;210;yes;0;1;1;23;Male;Design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Barely able;No;Yes;No;No;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Excellent;No;No;No;No;Yes
AR22;252;no;3;1;5;22;Female;Design;Yes;Rarely;Yes;No;No;No;No;Yes;LCL et imprimante 3d;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Completely able;No;No;No;No;Yes;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Useful;No;No;No;No;Yes;More or less;No;No;Yes;No;No;Excellent;No;No;No;No;Yes
AR23;185;yes;0;3;3;22;Male;conception et innovation mécanique;Yes;Rarely;Yes;No;No;No;No;Yes;cn tournage fraisage, découpe laser;Moderately familiar;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
AR24;284;yes;1;1;3;25;Female;Design Industriel;Yes;Moderately;No;No;Yes;No;No;Yes;Découpe Laser, CNC 3axes;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Clear;No;No;No;Yes;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
AR25;294;yes;1;1;5;22;Female;design;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;découpe laser;Very Little;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
AR26;306;yes;0;1;4;21;Female;design;Yes;Rarely;Yes;No;No;No;No;Yes;machine à découpe, impression laser, chaines de conditionnement;Familiar;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Very Clear;No;No;No;No;Yes;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
AR27;240;yes;0;0;3;22;Male;design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
AR28;275;yes;1;2;6;23;Female;design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;No;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Very Clear;No;No;No;No;Yes;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
AR29;226;yes;0;1;3;20;Male;;Yes;Rarely;Yes;No;No;No;No;Yes;fraiseuse, tour;Moderately familiar;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Understandable;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Good;No;No;No;Yes;No
AR30;276;yes;1;1;2;24;Male;design de produit;Yes;Rarely;Yes;No;No;No;No;Yes;découpeuse laser;Very Little;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Excellent;No;No;No;No;Yes
AR31;226;yes;0;0;0;20;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Excellent;No;No;No;No;Yes
AR32;324;yes;1;2;1;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
AR33;326;yes;0;2;3;20;Female;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;Yes;découpeuse laser ;Little;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Good;No;No;No;Yes;No
AR34;220;yes;1;0;2;20;Male;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;VeryEasy;No;No;No;No;Yes;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
AR35;;no;;;;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;No;Almost useful;No;No;No;Yes;No;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Easy;No;No;No;Yes;No;Understandable;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;Totally;No;No;No;No;Yes;Average;No;No;Yes;No;No
AR36;208;yes;0;2;1;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;VeryEasy;No;No;No;No;Yes;Very Clear;No;No;No;No;Yes;Yes;Scarcely useful;No;Yes;No;No;No;Totally;No;No;No;No;Yes;Average;No;No;Yes;No;No
AR37;269;yes;1;3;3;21;Male;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
AR38;262;yes;0;3;1;20;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;No;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Easy;No;No;No;Yes;No;Clear;No;No;No;Yes;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
AR39;279;yes;0;4;3;21;Female;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Easy;No;No;No;Yes;No;Very Clear;No;No;No;No;Yes;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
