Participant ID;Time;Completed;Help;Disorder;Error;Age;Gender;Background;ARexperience;ARexperience-cat;ARExperience-Rarely;ARExperience-Sometimes;ARExperience-Moderately;ARExperience-Regularly;ARExperience-VeryRegularly;MachineryExp;Si Yes, quelle .. ;MachineryExp-cat;MachineryExp-VeryLittle;MachineryExp-Little;MachineryExp-ModeratelyFamiliar;MachineryExp-Familiar;MachineryExp-VeryFamiliar;TrainingDone;Utility;Utility-Useless;Utility-ScarcelyUseful;Utility-ModeratelyUseful;Utility-AlmostUseful;Utility-Useful;ReprodAlone;ReprodAlone-Unable;ReprodeAlone-BarelyAble;ReprodeAlone-ModeratelyAble;ReprodeAlone-AlmostAble;ReprodeAlone-CompletelyAble;Clairity;Clarity-NotAtAll;Clarity-NotMuch;Clarity-Understandable;Clarity-VeryClear;Clarity-Limpid;ExplicaNeed;ExplicaNeed-Never;ExplicaNeed-Rarely;ExplicaNeed-Sometimes;ExplicaNeed-Often;ExplicaNeed-Always;ReplicationDone;UtilityAfterReprod;UtilityAfterReprod-Useless;UtilityAfterReprod-ScarcelyUseful;UtilityAfterReprod-ModeratelyUseful;UtilityAfterReprod-AlmostUseful;UtilityAfterReprod-Useful;Sufficient;Sufficient-NotAtAll;Sufficient-VeryLittle;Sufficient-MoreOrLess;Sufficient-Rather;Sufficient-Totally;SelfPerformance;SelfPerformance-Bad;SelfPerformance-Poor;SelfPerformance-Average;SelfPerformance-Good;SelfPerformance-Excellent
C19;349;yes;0;1;3;23;Female;design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C20;225;yes;0;0;0;21;Female;Master design ;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;CNC;Moderately familiar;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C21;206;yes;0;0;1;24;Female;design;Yes;Rarely;Yes;No;No;No;No;Yes;autre machine découpe laser;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Moderately able;No;No;Yes;No;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C22;330;yes;1;1;2;22;Male;product design;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;imprimante 3D, découpe laser;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Average;No;No;Yes;No;No
C23;214;yes;2;2;0;22;Female;design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C24;216;yes;1;1;0;22;Male;design;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Never;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C25;158;yes;0;0;1;22;Male;Mécanique;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Completely able;No;No;No;No;Yes;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Excellent;No;No;No;No;Yes
C26;260;yes;1;1;0;21;Female;Ingénierie;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;No;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C27;210;yes;0;2;1;20;Male;Ingénierie;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;No;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C28;246;yes;0;4;0;20;Male;Ingénierie;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Imprimante 3D;Little;No;Yes;No;No;No;No;Moderately useful;No;No;Yes;No;No;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C29;230;yes;2;0;2;21;Male;Ingénieur;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Average;No;No;Yes;No;No
C30;265;yes;0;1;2;20;Female;ingéneur;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;découpeuse laser;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Poor;No;Yes;No;No;No
C31;194;yes;0;1;1;19;Male;Ingénierie en génie des sytèmes et de l'innovation;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Completely able;No;No;No;No;Yes;Very clear;No;No;No;Yes;No;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C32;169;yes;0;0;0;20;Male;ingérieur généraliste;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;imprimante 3D et découpeuse laser;Little;No;Yes;No;No;No;Yes;Moderately useful;No;No;Yes;No;No;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C33;160;yes;0;0;2;21;Male;ingénieurie;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;imprimante 3D;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C34;437;yes;3;1;2;20;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C35;209;yes;1;1;1;22;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;decoupeuse laser, imprimante 3D;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C36;230;yes;1;0;2;19;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Imprimante 3D;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C37;191;yes;0;0;0;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;la découpeuse laser;Very Little;Yes;No;No;No;No;No;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C38;290;yes;1;1;0;20;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Moderately able;No;No;Yes;No;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C39;208;yes;1;1;0;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Découpeuse laser;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Excellent;No;No;No;No;Yes
C40;221;yes;0;3;0;21;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Completely able;No;No;No;No;Yes;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C41;202;yes;0;0;4;20;Male;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;Yes;imprimante 3D;Moderately familiar;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C42;186;yes;0;0;0;20;Female;Industrial engineering;Yes;Rarely;Yes;No;No;No;No;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Completely able;No;No;No;No;Yes;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C43;206;yes;0;3;0;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C44;217;yes;0;1;0;20;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C45;168;yes;0;0;0;20;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;More or less;No;No;Yes;No;No;Good;No;No;No;Yes;No
C46;181;yes;0;3;1;20;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Machine Laser W960;Little;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Rarely;No;Yes;No;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C47;158;yes;0;0;2;21;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Underestandable;No;No;Yes;No;No;Rarely;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Good;No;No;No;Yes;No
C48;157;yes;0;1;0;23;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;No;;None;N/A;N/A;N/A;N/A;N/A;Yes;Useful;No;No;No;No;Yes;Completely able;No;No;No;No;Yes;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
C49;245;yes;0;0;1;20;Female;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;découpeuse laser;Very Little;Yes;No;No;No;No;Yes;Useful;No;No;No;No;Yes;Almost able;No;No;No;Yes;No;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C50;186;yes;0;2;2;20;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;Une imprimente 3D, aussi au fablab;Little;No;Yes;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Almost able;No;No;No;Yes;No;Very clear;No;No;No;Yes;No;Sometimes;No;No;Yes;No;No;Yes;Useful;No;No;No;No;Yes;Rather;No;No;No;Yes;No;Average;No;No;Yes;No;No
C51;165;yes;0;1;0;21;Male;Industrial engineering;No;Never;N/A;N/A;N/A;N/A;N/A;Yes;découpe laser, imprimante 3D;Little;No;Yes;Yes;No;No;Yes;Almost useful;No;No;No;Yes;No;Completely able;No;No;No;No;Yes;Limpid;No;No;No;No;Yes;Never;Yes;No;No;No;No;Yes;Almost useful;No;No;No;Yes;No;Totally;No;No;No;No;Yes;Good;No;No;No;Yes;No
